osm_id,barrier,bicycle,foot,amenity,parking,highway,direction,stop,waterway,power,information,tourism,name,historic,check_date,place,telenav:graph-enhancer,design,line_attachment,material,structure,triple_tower,addr:city,addr:housenumber,addr:street,bus,public_transport,ref,description,operator,operator:wikidata,horse,incline,motorcar,motorcycle,motor_vehicle,railway,surface,tracktype,landuse,leisure,natural,voltage,mtb:scale:imba,water,lanes,maxspeed,mtb:scale,ref:FFID,cables,access,addr:interpolation,resource,building,service,bridge,layer,tunnel,admin_level,boundary,name:de,name:en,name:es,name:fr,name:it,name:ru,type,wikidata,wikipedia,protection_title,description:en,roundtrip,route,network,public_transport:version,website,wheelchair,WKT
"5003462836",,,,,,,,,,"tower",,,,,,,,"h-frame","suspension","wood","solid",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (-119.5532874 49.5245699)"
"5003462837",,,,,,,,,,"tower",,,,,,,,"h-frame","suspension","wood","solid",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (-119.5526604 49.521047)"
"5115836896",,,,,,,,,,"tower",,,,,,,,"flag","suspension","wood","solid",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (-119.5371285 49.5037053)"
"5115836897",,,,,,,,,,"tower",,,,,,,,"h-frame","suspension","wood","solid",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (-119.5381598 49.5047686)"
"5115836898",,,,,,,,,,"tower",,,,,,,,"h-frame","suspension","wood","solid",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (-119.5405034 49.5071648)"
"5115836899",,,,,,,,,,"tower",,,,,,,,"h-frame","suspension","wood","solid",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (-119.5414274 49.5080837)"
"5115836900",,,,,,,,,,"tower",,,,,,,,"h-frame","suspension","wood","solid",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (-119.5434994 49.5102023)"
"5115836901",,,,,,,,,,"tower",,,,,,,,"h-frame","suspension","wood","solid",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (-119.5455573 49.5122551)"
"5115836902",,,,,,,,,,"tower",,,,,,,,"h-frame","suspension","wood","solid",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (-119.5469172 49.513745)"
"5115836903",,,,,,,,,,"tower",,,,,,,,"monopolar","suspension","wood","solid","yes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (-119.5505007 49.5173832)"
"5796526580",,,,,,,,,,"tower",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (-119.4684058 49.806727)"
"5796526581",,,,,,,,,,"tower",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (-119.4710773 49.8060865)"
"5796526582",,,,,,,,,,"tower",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (-119.4749129 49.8052037)"
"5796526584",,,,,,,,,,"tower",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (-119.4802183 49.8039158)"
"5796526585",,,,,,,,,,"tower",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (-119.4878787 49.8020877)"
"5796605510",,,,,,,,,,,,,,,,,,,,,,,"Kelowna","1541","Appleridge Road",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (-119.4572113 49.8134435)"
"5796605531",,,,,,,,,,,,,,,,,,,,,,,"Kelowna","4751","Stewart Road West",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (-119.4547967 49.8132699)"
"5796605685",,,,,,,,,,,,,,,,,,,,,,,"Kelowna","1605","Crawford Road",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (-119.4580775 49.8162335)"
"5796605714",,,,,,,,,,,,,,,,,,,,,,,"Kelowna","4530","Stewart Road East",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (-119.4456764 49.8183794)"
"5796605745",,,,,,,,,,,,,,,,,,,,,,,"Kelowna","1549","Oakridge Road",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (-119.4590041 49.8151128)"
"5796606011",,,,,,,,,,,,,,,,,,,,,,,"Kelowna","1540","Mission Ridge Drive",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (-119.4588885 49.8153508)"
"5796606503",,,,,,,,,,,,,,,,,,,,,,,"Kelowna","4500","Stewart Road West",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (-119.4549586 49.8161791)"
"5796606757",,,,,,,,,,,,,,,,,,,,,,,"Kelowna","4690","Parkridge Drive",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (-119.4571441 49.8134094)"
"5796607010",,,,,,,,,,,,,,,,,,,,,,,"Kelowna","4754","Stewart Road West",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (-119.4550754 49.8132739)"
"5796607014",,,,,,,,,,,,,,,,,,,,,,,"Kelowna","1549","Mission Ridge Drive",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (-119.4587447 49.815174)"
"5796607554",,,,,,,,,,,,,,,,,,,,,,,"Kelowna","4612","Parkridge Drive",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (-119.4585906 49.8154206)"
"5796607591",,,,,,,,,,,,,,,,,,,,,,,"Kelowna","4631","Stewart Road West",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (-119.4547022 49.8159909)"
"5796607607",,,,,,,,,,,,,,,,,,,,,,,"Kelowna","1606","Crawford Road",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (-119.4580425 49.8164361)"
"5796607954",,,,,,,,,,,,,,,,,,,,,,,"Kelowna","4657","Parkridge Drive",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (-119.4572592 49.8143936)"
"5796608005",,,,,,,,,,,,,,,,,,,,,,,"Kelowna","1550","Appleridge Road",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (-119.4572256 49.8136271)"
"5796608036",,,,,,,,,,,,,,,,,,,,,,,"Kelowna","1510","Mission Ridge Drive",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (-119.4601698 49.8156498)"
"5796608257",,,,,,,,,,,,,,,,,,,,,,,"Kelowna","4611","Parkridge Drive",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (-119.4581659 49.8162183)"
"5796608275",,,,,,,,,,,,,,,,,,,,,,,"Kelowna","1626","Parkridge Court",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (-119.4574015 49.8145991)"
"5796608281",,,,,,,,,,,,,,,,,,,,,,,"Kelowna","4631","Parkridge Drive",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (-119.4582356 49.8153159)"
"5796608295",,,,,,,,,,,,,,,,,,,,,,,"Kelowna","4634","Crawford Court",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (-119.4558775 49.8153019)"
"5796608323",,,,,,,,,,,,,,,,,,,,,,,"Kelowna","1641","Parkridge Court",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (-119.4568773 49.8145685)"
"5796608337",,,,,,,,,,,,,,,,,,,,,,,"Kelowna","4669","Parkridge Drive",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (-119.4568643 49.8135311)"
"5796608349",,,,,,,,,,,,,,,,,,,,,,,"Kelowna","1533","Mission Ridge Drive",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (-119.459345 49.8151626)"
"5796608650",,,,,,,,,,,,,,,,,,,,,,,"Kelowna","4753","Stewart Road West",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (-119.4547998 49.8131797)"
"5796608768",,,,,,,,,,,,,,,,,,,,,,,"Kelowna","4621","Parkridge Drive",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (-119.4582957 49.8153754)"
"5796608823",,,,,,,,,,,,,,,,,,,,,,,"Kelowna","1625","Crawford Road",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (-119.4561902 49.8159775)"
"5796608831",,,,,,,,,,,,,,,,,,,,,,,"Kelowna","1513","Mission Ridge Drive",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (-119.4602503 49.815454)"
"5796609457",,,,,,,,,,,,,,,,,,,,,,,"Kelowna","4571","Stewart Road East",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (-119.4453975 49.8182886)"
